纬度,  经度,   海拔,   时间,   日期
4047.532, 11141.852, 1106m, 9时32分39秒, 2017年05月10日,
4047.557, 11141.837, 1181m, 9时32分41秒, 2017年05月10日,
4047.561, 11141.826, 1195m, 9时32分43秒, 2017年05月10日,
4047.559, 11141.815, 1192m, 9时32分45秒, 2017年05月10日,
4047.558, 11141.806, 1195m, 9时32分47秒, 2017年05月10日,
4047.555, 11141.796, 1184m, 9时32分49秒, 2017年05月10日,
4047.549, 11141.787, 1167m, 9时32分51秒, 2017年05月10日,
4047.548, 11141.779, 1159m, 9时32分53秒, 2017年05月10日,
4047.547, 11141.771, 1147m, 9时32分55秒, 2017年05月10日,
4047.552, 11141.767, 1147m, 9时32分57秒, 2017年05月10日,
4047.560, 11141.764, 1145m, 9时32分59秒, 2017年05月10日,
4047.571, 11141.759, 1144m, 9时33分01秒, 2017年05月10日,
4047.583, 11141.754, 1142m, 9时33分03秒, 2017年05月10日,
4047.595, 11141.748, 1142m, 9时33分05秒, 2017年05月10日,
4047.607, 11141.743, 1142m, 9时33分07秒, 2017年05月10日,
4047.618, 11141.738, 1142m, 9时33分09秒, 2017年05月10日,
4047.627, 11141.735, 1140m, 9时33分11秒, 2017年05月10日,
4047.634, 11141.733, 1139m, 9时33分13秒, 2017年05月10日,
4047.639, 11141.731, 1139m, 9时33分15秒, 2017年05月10日,
4047.643, 11141.730, 1139m, 9时33分17秒, 2017年05月10日,
4047.646, 11141.728, 1138m, 9时33分19秒, 2017年05月10日,
4047.648, 11141.727, 1137m, 9时33分21秒, 2017年05月10日,
4047.648, 11141.727, 1135m, 9时33分23秒, 2017年05月10日,
4047.617, 11141.721, 1132m, 9时33分25秒, 2017年05月10日,
4047.617, 11141.721, 1122m, 9时33分27秒, 2017年05月10日,
4047.618, 11141.722, 1115m, 9时33分29秒, 2017年05月10日,
4047.617, 11141.726, 1101m, 9时33分31秒, 2017年05月10日,
4047.617, 11141.734, 1071m, 9时33分33秒, 2017年05月10日,
4047.617, 11141.736, 1062m, 9时33分35秒, 2017年05月10日,
4047.618, 11141.736, 1060m, 9时33分37秒, 2017年05月10日,
4047.620, 11141.735, 1059m, 9时33分39秒, 2017年05月10日,
4047.621, 11141.735, 1058m, 9时33分41秒, 2017年05月10日,
4047.621, 11141.735, 1058m, 9时33分43秒, 2017年05月10日,
4047.621, 11141.735, 1058m, 9时33分45秒, 2017年05月10日,
4047.621, 11141.735, 1058m, 9时33分47秒, 2017年05月10日,
4047.621, 11141.735, 1058m, 9时33分49秒, 2017年05月10日,
4047.621, 11141.735, 1058m, 9时33分51秒, 2017年05月10日,
4047.621, 11141.735, 1058m, 9时33分53秒, 2017年05月10日,
4047.621, 11141.735, 1058m, 9时33分55秒, 2017年05月10日,
4047.621, 11141.735, 1058m, 9时33分57秒, 2017年05月10日,
4047.621, 11141.735, 1058m, 9时33分59秒, 2017年05月10日,
4047.621, 11141.735, 1058m, 9时34分01秒, 2017年05月10日,
4047.621, 11141.735, 1058m, 9时34分03秒, 2017年05月10日,
4047.621, 11141.735, 1058m, 9时34分05秒, 2017年05月10日,
4047.621, 11141.735, 1058m, 9时34分07秒, 2017年05月10日,
4047.622, 11141.734, 1058m, 9时34分09秒, 2017年05月10日,
4047.623, 11141.734, 1058m, 9时34分11秒, 2017年05月10日,
4047.623, 11141.734, 1058m, 9时34分13秒, 2017年05月10日,
4047.624, 11141.733, 1058m, 9时34分15秒, 2017年05月10日,
4047.626, 11141.733, 1058m, 9时34分17秒, 2017年05月10日,
4047.627, 11141.733, 1058m, 9时34分19秒, 2017年05月10日,
4047.627, 11141.733, 1058m, 9时34分21秒, 2017年05月10日,
4047.627, 11141.733, 1058m, 9时34分23秒, 2017年05月10日,
4047.627, 11141.733, 1058m, 9时34分25秒, 2017年05月10日,
4047.627, 11141.733, 1058m, 9时34分27秒, 2017年05月10日,
4047.627, 11141.733, 1058m, 9时34分29秒, 2017年05月10日,
